Comercio;Fecha Presentación;Tipo Movimiento;Tarjeta (4 últ. Dig.);Nro. Cupón;Marca;Moneda;Imp. Bruto;Dto. Arancel;Fecha Pago;Nro. Liquidación
21828002;19/07/2018;Venta ctdo;876;4631;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;8439;4632;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;4991;4633;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;2906;4634;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;9846;4635;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;7033;4636;MASTERCARD;$;935;21.97;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;9156;4637;MASTERCARD;$;1012;23.78;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;2733;4638;MASTERCARD;$;1149;27.0;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;6337;4639;MASTERCARD;$;935;21.97;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;6474;4641;MASTERCARD;$;1012;23.78;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;9653;743;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;2827;1983;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;3238;4642;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;3238;4643;MASTERCARD;$;858;20.16;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;6313;4644;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;6313;4645;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;4811;4646;MASTERCARD;$;984;23.12;14/08/2018;104919
21828002;19/07/2018;Venta ctdo;8180;4647;MASTERCARD;$;1518;35.67;14/08/2018;104919
21828002;20/07/2018;Venta ctdo;1992;4648;MASTERCARD;$;935;21.97;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;6767;4649;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;5145;4650;MASTERCARD;$;935;21.97;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;5012;1984;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;996;1985;MASTERCARD;$;1149;27.0;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;6522;1986;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8075;1987;MASTERCARD;$;935;21.97;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;1830;1988;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8144;1989;MASTERCARD;$;1644;38.63;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;3252;1990;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;118;1991;MASTERCARD;$;1149;27.0;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;2859;1992;MASTERCARD;$;858;20.16;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8527;1993;MASTERCARD;$;1012;23.78;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8903;1994;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;7578;1995;MASTERCARD;$;1149;27.0;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;7503;1996;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;7836;1997;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;2020;1998;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;3473;1999;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;9840;2000;MASTERCARD;$;1353;31.8;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;4094;2001;MASTERCARD;$;550;12.93;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;4094;2002;MASTERCARD;$;550;12.93;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;9121;2003;MASTERCARD;$;1012;23.78;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8790;2004;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;8532;2005;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;679;2006;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;20/07/2018;Venta ctdo;7438;744;MASTERCARD;$;984;23.12;15/08/2018;104983
21828002;23/07/2018;Venta ctdo;2001;4657;MAESTRO;$;984;10.82;25/07/2018;104870
21828002;23/07/2018;Venta ctdo;5024;2043;MAESTRO;$;1089;11.98;25/07/2018;104870
21828002;23/07/2018;Venta ctdo;5530;31;MAESTRO;$;1375;15.13;25/07/2018;104870
21828002;23/07/2018;Venta ctdo;8013;2015;MASTERCARD DEBIT;$;1012;11.13;25/07/2018;104900
21828002;23/07/2018;Venta ctdo;3368;2018;MASTERCARD DEBIT;$;984;10.82;25/07/2018;104900
21828002;23/07/2018;Venta ctdo;8160;30;MASTERCARD DEBIT;$;3280;36.08;25/07/2018;104900
21828002;23/07/2018;Venta ctdo;5757;4651;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;8772;4652;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1174;4653;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;9025;4654;MASTERCARD;$;1149;27.0;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7125;2007;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6041;2008;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;8347;2009;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;567;2010;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7950;2011;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4861;2012;MASTERCARD;$;1012;23.78;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;8551;2021;MASTERCARD;$;1089;25.59;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7969;2022;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;9420;747;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7266;2052;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7266;2053;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1577;2054;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;2940;2055;MASTERCARD;$;1595;37.48;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;2242;2056;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6358;2057;MASTERCARD;$;462;10.86;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;9028;2058;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1523;2059;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;3980;745;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7450;746;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;5868;2013;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1992;2014;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4712;2016;MASTERCARD;$;1149;27.0;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6429;2017;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;8015;2019;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;9806;2020;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6755;2023;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6619;2024;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1483;2025;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4927;2026;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7801;2027;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6445;2028;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;8833;2029;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;5918;2030;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7631;2031;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6497;2032;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;3605;2033;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;939;2034;MASTERCARD;$;858;20.16;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;3963;2035;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;519;2036;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4235;2037;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7263;2038;MASTERCARD;$;1452;34.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1360;2039;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7730;2040;MASTERCARD;$;1595;37.48;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4897;2041;MASTERCARD;$;1012;23.78;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;4871;2042;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7662;2044;MASTERCARD;$;1012;23.78;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;2125;2045;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;5325;2046;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6685;2047;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6685;2048;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;5304;2049;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;6467;2050;MASTERCARD;$;984;23.12;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;1329;2051;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;5963;4655;MASTERCARD;$;935;21.97;16/08/2018;105051
21828002;23/07/2018;Venta ctdo;7933;4656;MASTERCARD;$;1012;23.78;16/08/2018;105051
21828002;24/07/2018;Venta ctdo;6089;748;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;4062;2060;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;4802;2061;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;8918;2062;MASTERCARD;$;1149;27.0;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;5576;4658;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;6358;4659;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;4249;4660;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;2268;4661;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;55;4662;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;4392;4663;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;24/07/2018;Venta ctdo;1598;4664;MASTERCARD;$;984;23.12;17/08/2018;105103
21828002;25/07/2018;Venta ctdo;7162;4673;MAESTRO;$;984;10.82;27/07/2018;105012
21828002;25/07/2018;Venta ctdo;6940;32;MAESTRO;$;981;10.79;27/07/2018;105012
21828002;25/07/2018;Venta ctdo;6273;2065;MASTERCARD DEBIT;$;984;10.82;27/07/2018;105026
21828002;25/07/2018;Venta ctdo;6943;4665;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;1734;4666;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;3633;4667;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;6282;4668;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;9112;2063;MASTERCARD;$;935;21.97;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;3272;2064;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;6607;2066;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;901;749;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;6057;4669;MASTERCARD;$;1083;25.45;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;6927;4670;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;725;4671;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;392;4672;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;7561;4675;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;3798;4676;MASTERCARD;$;484;11.37;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;4690;4677;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;1604;4678;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;25/07/2018;Venta ctdo;9399;4679;MASTERCARD;$;984;23.12;21/08/2018;105154
21828002;26/07/2018;Venta ctdo;140;13;MAESTRO;$;728;8.01;30/07/2018;105074
21828002;27/07/2018;Venta ctdo;140;752;MAESTRO;$;895;9.85;31/07/2018;105125
